degradation,severity,n,accuracy,verb_mean,int_mean,ece_verb,ece_int,brier_verb,brier_int,auroc_verb,auroc_int
clean,0,100,0.99,0.8994949494949499,0.8834885399999999,0.09040404040404021,0.10651145999999993,0.018257575757575754,0.021129146894480005,0.49489795918367346,0.9191919191919192
glare,1,100,0.98,0.9000000000000004,0.8811999199999999,0.07979797979797942,0.09880008000000012,0.02616161616161615,0.02898203529004,0.5,0.8214285714285714
glare,2,100,0.93,0.8969696969696974,0.87944819,0.060606060606060344,0.06549945000000001,0.06343434343434343,0.06292611574205001,0.6374223602484472,0.8509984639016898
glare,3,100,0.87,0.8955000000000004,0.8752662500000001,0.05549999999999941,0.033151310000000316,0.106325,0.10403073451847002,0.6923076923076923,0.9089301503094607
jpeg,1,100,0.99,0.8995000000000004,0.89234653,0.10749999999999965,0.09765347,0.017124999999999998,0.01837073493845,1.0,0.98989898989899
jpeg,2,100,0.99,0.9000000000000004,0.89243776,0.10707070707070677,0.09756223999999995,0.017121212121212117,0.018969999629260003,1.0,0.98989898989899
jpeg,3,100,0.95,0.8979591836734697,0.8801866799999999,0.06122448979591778,0.09926957999999991,0.050357142857142864,0.044769727965159996,0.5881720430107527,0.9621052631578947
low_light,1,100,0.99,0.8867346938775511,0.8727697700000001,0.10306122448979554,0.11723022999999999,0.02173469387755102,0.023360309706870006,0.3917525773195876,0.9595959595959596
low_light,2,100,0.92,0.8907216494845361,0.8625264800000001,0.02680412371133996,0.06841378000000006,0.07742268041237113,0.07081903306199999,0.48174157303370785,0.9211956521739131
low_light,3,100,0.22,0.8704999999999999,0.8263680299999998,0.6505,0.60636803,0.5897249999999999,0.5366604611447101,0.6794871794871795,0.6165501165501166
motion_blur,1,100,1.0,0.901041666666667,0.8921070500000002,0.09895833333333304,0.10789294999999999,0.009843749999999995,0.012099240884629998,nan,nan
motion_blur,2,100,0.98,0.9000000000000001,0.88841818,0.07938144329896882,0.10294146000000004,0.026546391752577312,0.0248800530234,0.5,0.9897959183673469
motion_blur,3,100,0.93,0.8995000000000004,0.88341967,0.0474999999999997,0.06190364999999992,0.06512499999999999,0.05993902215115001,0.5714285714285714,0.9646697388632872
resample,1,100,0.99,0.9000000000000004,0.89274703,0.08989898989898959,0.09725297000000013,0.018080808080808076,0.019162552059829998,0.5,0.9292929292929293
resample,2,100,0.95,0.9000000000000004,0.8908486999999999,0.06666666666666632,0.05915129999999995,0.04944444444444444,0.04680723491124,0.6042553191489362,0.9726315789473684
resample,3,100,0.92,0.9000000000000002,0.88284469,0.01919191919191891,0.08394331000000002,0.0757070707070707,0.06538323942898999,0.4326923076923077,0.9497282608695652
rotation,1,100,1.0,0.9005000000000004,0.8880705499999999,0.09949999999999959,0.11192944999999994,0.009924999999999995,0.012888793390789997,nan,nan
rotation,2,100,0.98,0.8995000000000004,0.8895347100000001,0.0974999999999997,0.09046529000000003,0.025124999999999988,0.025469456618409998,0.75,0.9948979591836735
rotation,3,100,0.99,0.9000000000000005,0.88985109,0.08999999999999952,0.10014891,0.017999999999999995,0.01937800647027,0.5,0.9797979797979798
